Paronychia pulvinata,forb,PARPUL,Rocky Mountain nailwort,Caryophyllaceae,NA,green and yellow,absent,radial,cushion,oblong,fellfield,NA,JG Smith
Silene acaulis,forb,SILACA,moss campion,Caryophyllaceae,NA,pink,5,radial,cushion,oblong,fellfield and dry meadow,NA,JG Smith
Stellaria longipes,forb,STELON,long-stalked starwort,Caryophyllaceae,Stellaria laeta,white,5,radial,opposite,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Stellaria umbellata,forb,STEUMB,umbrella starwort,Caryophyllaceae,NA,green,absent,radial,opposite,oblong,wet meadow and subalpine,NA,JG Smith
Rhodiola integrifolia,forb,RHOINT,king's crown,Crassulaceae,Sedum integrifolium,red,5,urceolate,alternate,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Rhodiola rhodantha,forb,RHORHO,queen's crown,Crassulaceae,Clementsia rhodantha and Sedum rhodanthum,pink,5,urceolate,alternate,oblong,wet meadow and subalpine,NA,JG Smith
Sedum lanceolatum,forb,SEDLAN,yellow stonecrop,Crassulaceae,NA,yellow,5,radial,alternate,oblong,fellfield and dry meadow and moist meadow and subalpine,NA,JG Smith
Trifolium dasyphyllum,forb,TRIDAS,alpine clover,Fabaceae,NA,pink,5,papilionaceous,basal,ternate,fellfield and dry meadow and subalpine,NA,JG Smith
Trifolium nanum,forb,TRINAN,dwarf clover,Fabaceae,NA,pink,5,papilionaceous,cushion,ternate,fellfield and dry meadow,NA,WD Bowman
Trifolium parryi ,forb,TRIPAR,ParryÍs clover,Fabaceae,NA,pink,5,papilionaceous,basal,ternate,wet meadow and moist meadow and snowbed and subalpine,NA,JG Smith
Frasera speciosa,forb,FRASPE,elkweed,Gentianaceae,NA,green and white,4,radial,whorled,oblong,fellfield and subalpine,NA,JG Smith
Gentiana algida,forb,GENALG,arctic gentian,Gentianaceae,Gentianodes algida,white,5,funnelform,basal and opposite,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Gentiana parryi,forb,GENPAR,ParryÍs gentian,Gentianaceae,NA,blue,5,campanulate and funnelform,opposite,oblong,wet meadow and subalpine,NA,JG Smith
Gentiana prostrata,forb,GENPRO,pygmy gentian,Gentianaceae,NA,blue and white,4 and 5,radial,opposite,oblong,moist meadow,NA,JG Smith
Gentianella amarella,forb,GENAMA,autumn dwarf gentian,Gentianaceae,NA,purple and white,4 and 5,radial,opposite,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Gentianella tenella,forb,GENTEN,Lapland gentain,Gentianaceae,NA,blue and white,4,radial,basal,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Gentianopsis barbellata,forb,GENBAR,perennial fringed gentian,Gentianaceae,NA,blue and purple,4,funnelform,basal and opposite,oblong,dry meadow and moist meadow and subalpine,NA,JG Smith
Swertia perennis,forb,SWEPER,felwort,Gentianaceae,NA,purple,5,radial,basal and opposite,oblong,wet meadow and subalpine,NA,JG Smith
Phacelia sericea,forb,PHASER,silky phacelia,Hydrophyllaceae,NA,purple,5,radial,alternate,other,fellfield and subalpine,NA,JG Smith
Lloydia serotina,forb,LLOSER,alpine lily,Liliaceae,NA,white,6,radial,alternate and basal,oblong,dry meadow,NA,JG Smith
Zigadenus elegans,forb,ZIGELE,mountain deathcamas,Melanthiaceae ,NA,white,6,radial,basal,oblong,dry meadow and subalpine,Formerly in Liliaceae family,JG Smith
Lewisia pygmaea,forb,LEWPYG,pygmy bitterroot,Montiaceae,Oreobroma pygmaea,pink and white,5 and 6 and >6,radial,basal,oblong,moist meadow and snowbed,Some include in Portulacaceae family,JG Smith
Chamerion angustifolium,forb,CHAANG,fireweed,Onagraceae,Epilobium angustifolium,pink,4,radial,alternate,oblong,subalpine,NA,JG Smith
Epilobium anagallidifolium,forb,EPIANA,pimpernel willow herb,Onagraceae,Epilobium alpinum,pink and white,4,radial,opposite,oblong,wet meadow and talus and subalpine,NA,JG Smith
red Castilleja sp.,forb,REDCAS,red Indian paintbrush,Orobanchaceae ,NA,red,NA,labiate,alternate,oblong,subalpine,Includes C. miniata and C. rhexifolia; red bracts are most visible part of flower; formerly in Scrophulariaceae family,JG Smith
Pedicularis groenlandica,forb,PEDGRO,elephantÍs head,Orobanchaceae ,NA,pink,NA,labiate,basal,other,moist meadow and wet meadow and subalpine,Formerly in Scrophulariaceae family,JG Smith
Pedicularis parryi,forb,PEDPAR,ParryÍs lousewort,Orobanchaceae ,NA,white,NA,labiate,basal,other,dry meadow and subalpine,Formerly in Scrophulariaceae family,JG Smith
Pedicularis procera,forb,PEDPRO,giant lousewort,Orobanchaceae ,Pedicularis grayi,white,NA,labiate,alternate,other,subalpine,Formerly in Scrophulariaceae family,TBD
Pedicularis sudetica,forb,PEDSUD,sudetic lousewort,Orobanchaceae ,Pedicularis scopulorum,pink,NA,labiate,basal,other,moist meadow and wet meadow and subalpine,Formerly in Scrophulariaceae family,JG Smith
yellow Castilleja sp.,forb,YELCAS,yellow Indian paintbrush,Orobanchaceae ,NA,yellow,NA,labiate,alternate,oblong,dry meadow and moist meadow,Includes C. occidentalis and C. puberula; yellow bracts are most visible part of flower; formerly in Scrophulariaceae family,JG Smith
Besseya alpina,forb,BESALP,alpine kittentails,Plantaginaceae,NA,purple,NA,labiate,basal,oblong,talus and subalpine,Formerly in Scrophulariaceae family,JG Smith
Chionophila jamesii,forb,CHIJAM,Rocky Mountain snowlover,Plantaginaceae ,NA,white,NA,labiate,basal,oblong,moist meadow and snowbed,Formerly in Scrophulariaceae family,JG Smith
Penstemon whippleanus,forb,PENWHI,WhippleÍs penstemon,Plantaginaceae ,NA,purple and white,NA,labiate,opposite,oblong,dry meadow and subalpine,Formerly in Scrophulariaceae family,JG Smith
Veronica wormskjoldii,forb,VERWOR,alpine speedwell,Plantaginaceae ,Veronica nutans,blue and purple,NA,labiate,opposite,oblong,wet meadow and subalpine,Formerly in Scrophulariaceae family,JG Smith
Phlox pulvinata,forb,PHLPUL,cushion phlox,Polemoniaceae,Phlox sibirica,blue and purple and white,5,radial,cushion,oblong,fellfield and dry meadow,NA,JG Smith
Polemonium pulcherrimum,forb,POLPUL,JacobÍs ladder,Polemoniaceae,Polemonium delicatum,blue and white,5,radial,alternate,other,subalpine,NA,JG Smith
Polemonium viscosum,forb,POLVIS,sky pilot,Polemoniaceae,NA,purple,5,funnelform,basal,other,dry meadow and talus and subalpine,NA,JG Smith
 Bistorta vivipara,forb,BISVIV,alpine bistort,Polygonaceae,Polygonum viviparum,white,5,other,alternate and basal,oblong,moist meadow and wet meadow and subalpine,NA,JG Smith
Bistorta bistortoides,forb,BISBIS,American bistort,Polygonaceae,Polygonum bistortoides ,white,5,other,alternate and basal,oblong,dry meadow and moist meadow and wet meadow and snowbed and subalpine,NA,JG Smith
Oxyria digyna,forb,OXYDIG,alpine mountain-sorrel,Polygonaceae,NA,yellow,4,other,basal,round,wet meadow and talus and subalpine,NA,JG Smith
Androsace septentrionalis,forb,ANDSEP,pygmyflower rockjasmine,Primulaceae,NA,white,5,radial,basal,oblong,dry meadow and subalpine,NA,JG Smith
Dodecatheon pulchellum,forb,DODPUL,darkthroat shooting star,Primulaceae,NA,pink,4 and 5,reflexed,basal,oblong,wet meadow and subalpine,NA,JG Smith
Primula angustifolia,forb,PRIANG,alpine primrose,Primulaceae,NA,pink,5,radial,basal,oblong,dry meadow and moist meadow,NA,JG Smith
Primula parryi,forb,PRIPAR,ParryÍs primrose,Primulaceae,NA,pink,5,radial,basal,oblong,wet meadow and subalpine,NA,JG Smith
Aconitum columbianum,forb,ACOCOL,Columbian monkshood,Ranunculaceae,NA,purple and white,2,other,alternate,palmate,subalpine,NA,JG Smith
Aquilegia coerulea,forb,AQUCOE,Colorado blue columbine,Ranunculaceae,NA,blue and white,5,radial,alternate and basal,ternate,subalpine,NA,JG Smith
Caltha leptosepala,forb,CALLEP,marsh marigold,Ranunculaceae,NA,white,5 and 6 and >6,radial,basal,oblong,wet meadow and subalpine,NA,JG Smith
Anemone patens,forb,PULPAT,pasque flower,Ranunculaceae,Pulsatilla patens,purple,5 and 6 and >6,radial,basal and whorled,other,dry meadow and subalpine,NA,JG Smith
Ranunculus adoneus,forb,RANADO,snow buttercup,Ranunculaceae,NA,yellow,3 and 4 and 5 and 6 and >6,radial,alternate and basal,other,snowbed,NA,JG Smith
Ranunculus eschscholtzii,forb,RANESC,EschscholtzÍs buttercup,Ranunculaceae,NA,yellow,5,radial,alternate and basal,ternate,subalpine,NA,JG Smith
Trollius albiflorus,forb,TROALB,white globeflower,Ranunculaceae,Trollius laxus,yellow,5 and 6 and >6,radial,alternate,palmate,subalpine,NA,JG Smith
Dryas octopetala,forb,DRYOCT,mountain dryad,Roseaceae,NA,white,>6,radial,alternate,oblong,fellfield and dry meadow,NA,JG Smith
Geum rossii ,forb,GEUROS,alpine avens,Roseaceae,Acomastylis rossii,yellow,5,radial,basal,other,dry meadow and moist meadow and wet meadow and snowbed and subalpine,NA,JG Smith
Potentilla diversifolia,forb,POTDIV,varileaf cinquefoil,Roseaceae,NA,yellow,5,radial,basal,palmate,moist meadow and snowbed and subalpine,NA,JG Smith
Sibbaldia procumbens,forb,SIBPRO,creeping sibbaldia,Roseaceae,NA,green and yellow,5,radial,basal,ternate,moist meadow and snowbed and subalpine,NA,JG Smith
Heuchera parvifolia,forb,HEUPAR,little-leaf alumroot,Saxifragaceae,NA,yellow and white,5,radial,basal,round,fellfield and subalpine,NA,JG Smith
Saxifraga bronchialis,forb,SAXBRO,spotted saxifrage,Saxifragaceae,NA,white,5,radial,cushion,oblong,fellfield and subalpine,NA,JG Smith
Saxifraga chrysantha,forb,SAXCHR,golden saxifrage,Saxifragaceae,Hirculus serpyllifolius,yellow,5,radial,cushion,oblong,fellfield,not stoloniferous and sepals strongly reflexed,JG Smith
Saxifraga flagellaris,forb,SAXFLA,stoloniferous saxifrage,Saxifragaceae,Hirculus serpyllifolius,yellow,5,radial,basal,oblong,fellfield,stoloniferous and sepals erect,JG Smith
Saxifraga rhomboidea,forb,SAXRHO,snowball saxifrage,Saxifragaceae,Micranthes rhomboidea,white,5,radial ,basal,oblong,dry meadow and moist meadow and snowbed and subalpine,NA,JG Smith
Saxifraga rivularis,forb,SAXRIV,weak saxifrage,Saxifragaceae,Saxifraga hyperborea,white,5,radial,basal,round,fellfield and talus and subalpine,NA,TBD
Viola adunca,forb,VIOADU,hook-spurred violet,Violaceae,Viola labradorica,purple,5,other,basal,round,subalpine,NA,JG Smith
