Juncus biglumis,graminoid,Juncaceae (Rushes),JUNBIG,two-flowered rush,NA,round and solid,involute,moist meadow,NA,JG Smith
Juncus castaneus,graminoid,Juncaceae (Rushes),JUNCAS,chestnut rush,NA,round and solid,flat and involute,moist meadow and wet meadow and subalpine,NA,JG Smith
Juncus drummondii,graminoid,Juncaceae (Rushes),JUNDRU,Drummond‰Ûªs rush,NA,round and solid,absent,moist meadow and wet meadow and talus and subalpine,NA,JG Smith
Juncus mertensianus,graminoid,Juncaceae (Rushes),JUNMER,Merten's rush,NA,round and solid,involute,wet meadow and subalpine,NA,JG Smith
Juncus parryi,graminoid,Juncaceae (Rushes),JUNPAR,Parry's rush,NA,round and solid,involute and absent,moist meadow and wet meadow and subalpine,NA,JG Smith
Juncus triglumis,graminoid,Juncaceae (Rushes),JUNTRI,three-hulled rush,NA,round and solid,flat and involute,moist meadow and wet meadow,NA,JG Smith
Luzula spicata,graminoid,Juncaceae (Rushes),LUZSPI,spiked woodrush,NA,round and solid,flat,moist meadow and snowbed and subalpine,NA,JG Smith
